Timestep[1] 	 x_error[2] 	 command_torques[4] 	 joint_gravity[4] 	 effective_joint_gravity[4] 	 alpha[1]
6.3241	-6.01891e-07 -2.68353e-07	 -1.14193 -0.210527   14.1747   4.35018	64.9888 32.8211 14.1747 4.35017	33.5793  21.449 18.0666 5.99295	-0.727694	
6.3251	-6.01848e-07 -2.68337e-07	 -1.14194 -0.210525   14.1747   4.35018	64.9888 32.8211 14.1747 4.35017	33.5793  21.449 18.0666 5.99295	-0.727694	
6.32607	-6.01813e-07 -2.68324e-07	 -1.14194 -0.210522   14.1747   4.35018	64.9888 32.8211 14.1747 4.35017	33.5793  21.449 18.0666 5.99295	-0.727694	
6.3271	-6.01768e-07 -2.68311e-07	 -1.14195 -0.210521   14.1747   4.35018	64.9888 32.8211 14.1747 4.35017	33.5793  21.449 18.0666 5.99295	-0.727694	
6.3281	-6.01727e-07 -2.68301e-07	 -1.14196 -0.210518   14.1747   4.35018	64.9888 32.8211 14.1747 4.35017	33.5793  21.449 18.0666 5.99295	-0.727695	
6.3291	-6.01683e-07 -2.68289e-07	-1.14201 -0.21054  14.1747  4.35017	64.9888 32.8211 14.1747 4.35017	64.9888 32.8211 14.1747 4.35017	-0.727695	
6.3301	-6.01646e-07 -2.68278e-07	 -1.14201 -0.210537   14.1747   4.35017	64.9888 32.8211 14.1747 4.35017	33.5793  21.449 18.0666 5.99295	-0.727695	
6.33111	-6.01599e-07 -2.68261e-07	 -1.14202 -0.210535   14.1747   4.35017	64.9888 32.8211 14.1747 4.35017	64.9888 32.8211 14.1747 4.35017	-0.727695	
6.33211	-6.01557e-07 -2.68244e-07	 -1.14203 -0.210532   14.1747   4.35017	64.9888 32.8211 14.1747 4.35017	64.9888 32.8211 14.1747 4.35017	-0.727695	
6.3331	-6.01518e-07 -2.68227e-07	-1.14203 -0.21053  14.1747  4.35017	64.9888 32.8211 14.1747 4.35017	64.9888 32.8211 14.1747 4.35017	-0.727695	
6.33407	-6.01475e-07 -2.68206e-07	 -1.14204 -0.210528   14.1747   4.35017	64.9888 32.8211 14.1747 4.35018	33.5794  21.449 18.0666 5.99295	-0.727695	
6.33506	-6.01437e-07 -2.68185e-07	 -1.14204 -0.210525   14.1747   4.35017	64.9888 32.8211 14.1747 4.35018	33.5794  21.449 18.0666 5.99295	-0.727695	
6.3361	-6.01395e-07 -2.68163e-07	 -1.14205 -0.210523   14.1747   4.35017	64.9888 32.8211 14.1747 4.35018	33.5794  21.449 18.0666 5.99295	-0.727695	
6.33711	-6.01349e-07 -2.68138e-07	 -1.14206 -0.210521   14.1747   4.35018	64.9888 32.8211 14.1747 4.35018	64.9888 32.8211 14.1747 4.35018	-0.727695	
6.3381	-6.01306e-07 -2.68114e-07	 -1.14206 -0.210518   14.1747   4.35018	64.9888 32.8211 14.1747 4.35018	64.9888 32.8211 14.1747 4.35018	-0.727695	
6.33912	-6.01261e-07 -2.68087e-07	 -1.14207 -0.210516   14.1747   4.35018	64.9888 32.8211 14.1747 4.35018	64.9888 32.8211 14.1747 4.35018	-0.727695	
6.34011	-6.01219e-07 -2.68064e-07	 -1.14207 -0.210514   14.1747   4.35018	64.9888 32.8211 14.1747 4.35018	64.9888 32.8211 14.1747 4.35018	-0.727695	
6.3411	-6.01182e-07 -2.68044e-07	 -1.14208 -0.210512   14.1747   4.35018	64.9888 32.8211 14.1747 4.35018	33.5794  21.449 18.0666 5.99295	-0.727695	
6.3421	 -6.0114e-07 -2.68021e-07	-1.14209 -0.21051  14.1747  4.35018	64.9888 32.8211 14.1747 4.35018	33.5794  21.449 18.0666 5.99295	-0.727695	
6.3431	-6.01098e-07 -2.67999e-07	 -1.14209 -0.210508   14.1747   4.35018	64.9888 32.8211 14.1747 4.35018	33.5794  21.449 18.0666 5.99295	-0.727695	
6.3441	-6.01056e-07 -2.67977e-07	  -1.1421 -0.210505   14.1747   4.35018	64.9887 32.8211 14.1747 4.35018	33.5794  21.449 18.0666 5.99295	-0.727695	
6.3451	 -6.0101e-07 -2.67955e-07	 -1.14211 -0.210503   14.1747   4.35018	64.9887 32.8211 14.1747 4.35018	64.9887 32.8211 14.1747 4.35018	-0.727695	
6.34612	-6.00965e-07 -2.67934e-07	 -1.14211 -0.210501   14.1747   4.35018	64.9887 32.8211 14.1747 4.35018	64.9887 32.8211 14.1747 4.35018	-0.727695	
6.34711	-6.00924e-07 -2.67916e-07	 -1.14212 -0.210498   14.1747   4.35018	64.9887 32.8211 14.1747 4.35018	64.9887 32.8211 14.1747 4.35018	-0.727695	
6.34812	-6.00882e-07   -2.679e-07	 -1.14212 -0.210496   14.1747   4.35018	64.9887 32.8211 14.1747 4.35018	33.5794  21.449 18.0666 5.99295	-0.727695	
6.3491	-6.00847e-07 -2.67888e-07	 -1.14213 -0.210494   14.1747   4.35018	64.9887 32.8211 14.1747 4.35018	33.5794  21.449 18.0666 5.99295	-0.727695	
6.3501	-6.00806e-07 -2.67875e-07	 -1.14214 -0.210492   14.1747   4.35018	64.9887 32.8211 14.1747 4.35018	33.5794  21.449 18.0666 5.99295	-0.727695	
6.35107	-6.00761e-07 -2.67864e-07	-1.14214 -0.21049  14.1747  4.35018	64.9887 32.8211 14.1747 4.35018	33.5794  21.449 18.0666 5.99295	-0.727695	
6.3521	-6.00728e-07 -2.67856e-07	 -1.14215 -0.210488   14.1747   4.35018	64.9887 32.8211 14.1747 4.35018	33.5794  21.449 18.0666 5.99295	-0.727696	
6.3531	 -6.0068e-07 -2.67846e-07	  -1.1422 -0.210509   14.1747   4.35017	64.9887 32.8211 14.1747 4.35018	64.9887 32.8211 14.1747 4.35018	-0.727696	
6.3541	-6.00647e-07 -2.67836e-07	 -1.14221 -0.210506   14.1747   4.35018	64.9887 32.8211 14.1747 4.35018	33.5794  21.449 18.0666 5.99295	-0.727696	
6.3551	-6.00602e-07 -2.67822e-07	 -1.14221 -0.210504   14.1747   4.35018	64.9887 32.8211 14.1747 4.35018	33.5794  21.449 18.0666 5.99295	-0.727696	
6.3561	 -6.0056e-07 -2.67807e-07	 -1.14222 -0.210502   14.1747   4.35018	64.9887 32.8211 14.1747 4.35018	33.5794  21.449 18.0666 5.99295	-0.727696	
6.35712	-6.00512e-07 -2.67788e-07	-1.14222  -0.2105  14.1747  4.35018	64.9887 32.8211 14.1747 4.35018	33.5794  21.449 18.0666 5.99295	-0.727696	
6.3581	-6.00473e-07 -2.67771e-07	 -1.14223 -0.210497   14.1747   4.35018	64.9887 32.8211 14.1747 4.35018	64.9887 32.8211 14.1747 4.35018	-0.727696	
6.3591	-6.00432e-07 -2.67751e-07	 -1.14224 -0.210495   14.1747   4.35018	64.9887 32.8211 14.1747 4.35018	64.9887 32.8211 14.1747 4.35018	-0.727696	
6.3601	-6.00393e-07 -2.67732e-07	 -1.14224 -0.210493   14.1747   4.35018	64.9887 32.8211 14.1747 4.35018	33.5794  21.449 18.0666 5.99294	-0.727696	
6.3611	-6.00351e-07 -2.67711e-07	 -1.14225 -0.210491   14.1747   4.35018	64.9887 32.8211 14.1747 4.35018	33.5794  21.449 18.0666 5.99294	-0.727696	
6.3621	-6.00309e-07 -2.67689e-07	 -1.14225 -0.210488   14.1747   4.35018	64.9887 32.8211 14.1747 4.35018	33.5794  21.449 18.0666 5.99294	-0.727696	
6.3631	-6.00267e-07 -2.67667e-07	 -1.14226 -0.210486   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	33.5794  21.449 18.0666 5.99294	-0.727696	
6.36411	-6.00224e-07 -2.67646e-07	 -1.14227 -0.210484   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	33.5794  21.449 18.0666 5.99294	-0.727696	
6.36511	-6.00175e-07  -2.6762e-07	 -1.14227 -0.210481   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	64.9887 32.8211 14.1748 4.35018	-0.727696	
6.3661	 -6.0014e-07 -2.67602e-07	 -1.14228 -0.210479   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	33.5794  21.449 18.0666 5.99294	-0.727696	
6.36711	-6.00098e-07 -2.67582e-07	 -1.14228 -0.210477   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	33.5794  21.449 18.0666 5.99294	-0.727696	
6.36809	-6.00052e-07  -2.6756e-07	 -1.14229 -0.210475   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	33.5794  21.449 18.0666 5.99294	-0.727696	
6.3691	-6.00011e-07 -2.67542e-07	  -1.1423 -0.210472   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	64.9887 32.8211 14.1748 4.35018	-0.727696	
6.37011	-5.99967e-07 -2.67523e-07	 -1.1423 -0.21047  14.1748  4.35018	64.9887 32.8211 14.1748 4.35018	64.9887 32.8211 14.1748 4.35018	-0.727696	
6.37106	-5.99967e-07 -2.67523e-07	 -1.14231 -0.210468   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	33.5794  21.449 18.0666 5.99294	-0.727696	
6.37206	-5.99925e-07 -2.67506e-07	 -1.14231 -0.210466   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	33.5794  21.449 18.0666 5.99294	-0.727696	
6.37306	-5.99882e-07  -2.6749e-07	 -1.14232 -0.210463   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	33.5794  21.449 18.0666 5.99294	-0.727696	
6.37411	  -5.998e-07 -2.67466e-07	 -1.14233 -0.210461   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	33.5794  21.449 18.0666 5.99294	-0.727696	
6.3751	 -5.9976e-07 -2.67458e-07	 -1.14233 -0.210459   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	33.5794  21.449 18.0667 5.99294	-0.727697	
6.37611	-5.99719e-07 -2.67448e-07	-1.14238 -0.21048  14.1748  4.35018	64.9887 32.8211 14.1748 4.35018	33.5794  21.449 18.0667 5.99294	-0.727697	
6.37711	-5.99678e-07 -2.67438e-07	 -1.14239 -0.210478   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	33.5794  21.449 18.0667 5.99294	-0.727697	
6.37812	-5.99637e-07 -2.67425e-07	  -1.1424 -0.210476   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	33.5794  21.449 18.0667 5.99294	-0.727697	
6.3791	-5.99637e-07 -2.67425e-07	  -1.1424 -0.210473   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	33.5794  21.449 18.0667 5.99294	-0.727697	
6.38011	-5.99554e-07 -2.67394e-07	 -1.14241 -0.210471   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	33.5794  21.449 18.0667 5.99294	-0.727697	
6.38111	-5.99513e-07 -2.67376e-07	 -1.14241 -0.210469   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	64.9887 32.8211 14.1748 4.35018	-0.727697	
6.38206	-5.99513e-07 -2.67376e-07	 -1.14242 -0.210466   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	33.5794  21.449 18.0667 5.99294	-0.727697	
6.38312	-5.99428e-07 -2.67336e-07	 -1.14243 -0.210464   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	33.5794  21.449 18.0667 5.99294	-0.727697	
6.38407	-5.99428e-07 -2.67336e-07	 -1.14243 -0.210462   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	33.5794  21.449 18.0667 5.99294	-0.727697	
6.38507	-5.99345e-07 -2.67294e-07	-1.14244 -0.21046  14.1748  4.35018	64.9887 32.8211 14.1748 4.35018	33.5794  21.449 18.0667 5.99294	-0.727697	
6.38606	-5.99345e-07 -2.67294e-07	 -1.14244 -0.210457   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	33.5794  21.449 18.0667 5.99294	-0.727697	
6.38706	-5.99305e-07 -2.67273e-07	 -1.14245 -0.210455   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	33.5794  21.449 18.0667 5.99294	-0.727697	
6.38807	-5.99219e-07 -2.67231e-07	 -1.14246 -0.210453   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	64.9887 32.8211 14.1748 4.35018	-0.727697	
6.38907	-5.99219e-07 -2.67231e-07	 -1.14246 -0.210451   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	33.5794  21.449 18.0667 5.99294	-0.727697	
6.3901	-5.99177e-07  -2.6721e-07	 -1.14247 -0.210449   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	33.5794  21.449 18.0667 5.99294	-0.727697	
6.39111	-5.99092e-07 -2.67171e-07	 -1.14247 -0.210446   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	33.5794  21.449 18.0667 5.99294	-0.727697	
6.39211	-5.99046e-07 -2.67151e-07	 -1.14248 -0.210444   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	33.5794  21.449 18.0667 5.99294	-0.727697	
6.39313	-5.99006e-07 -2.67136e-07	 -1.14249 -0.210442   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	33.5794  21.449 18.0667 5.99294	-0.727697	
6.39413	-5.99006e-07 -2.67136e-07	 -1.14249 -0.210439   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	33.5794  21.449 18.0667 5.99294	-0.727697	
6.39512	-5.98966e-07 -2.67122e-07	  -1.1425 -0.210437   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	33.5794  21.449 18.0667 5.99294	-0.727697	
6.39611	-5.98882e-07 -2.67097e-07	 -1.14251 -0.210435   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	33.5794  21.449 18.0667 5.99294	-0.727697	
6.39711	-5.98842e-07 -2.67087e-07	 -1.14251 -0.210433   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	33.5794  21.449 18.0667 5.99294	-0.727697	
6.39813	-5.98803e-07  -2.6708e-07	 -1.14252 -0.210431   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	33.5794  21.449 18.0667 5.99294	-0.727698	
6.39911	-5.98763e-07 -2.67073e-07	 -1.14257 -0.210452   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	33.5794  21.449 18.0667 5.99294	-0.727698	
6.40011	-5.98721e-07 -2.67063e-07	-1.14257 -0.21045  14.1748  4.35018	64.9887 32.8211 14.1748 4.35018	33.5794  21.449 18.0667 5.99294	-0.727698	
6.40107	-5.98683e-07 -2.67052e-07	 -1.14258 -0.210447   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	33.5794  21.449 18.0667 5.99294	-0.727698	
6.4021	-5.98683e-07 -2.67052e-07	 -1.14259 -0.210445   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	33.5794  21.449 18.0667 5.99294	-0.727698	
6.40307	-5.98642e-07 -2.67038e-07	 -1.14259 -0.210443   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	33.5794  21.449 18.0667 5.99294	-0.727698	
6.40407	  -5.986e-07 -2.67022e-07	 -1.1426 -0.21044  14.1748  4.35018	64.9887 32.8211 14.1748 4.35018	33.5794  21.449 18.0667 5.99294	-0.727698	
6.40512	 -5.9852e-07 -2.66988e-07	  -1.1426 -0.210438   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	33.5794  21.449 18.0667 5.99294	-0.727698	
6.40611	-5.98479e-07 -2.66968e-07	 -1.14261 -0.210436   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	33.5794  21.449 18.0667 5.99294	-0.727698	
6.40711	-5.9844e-07 -2.6695e-07	 -1.14262 -0.210434   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	33.5794  21.449 18.0667 5.99294	-0.727698	
6.40811	-5.98399e-07 -2.66929e-07	 -1.14262 -0.210432   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	33.5794  21.449 18.0667 5.99293	-0.727698	
6.40911	-5.98354e-07 -2.66906e-07	 -1.14263 -0.210429   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	33.5794  21.449 18.0667 5.99293	-0.727698	
6.41012	-5.98312e-07 -2.66885e-07	 -1.14263 -0.210427   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	33.5794  21.449 18.0667 5.99293	-0.727698	
6.41111	-5.98312e-07 -2.66885e-07	 -1.14264 -0.210424   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	33.5794  21.449 18.0667 5.99293	-0.727698	
6.41211	-5.98232e-07 -2.66845e-07	 -1.14265 -0.210422   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	33.5794  21.449 18.0667 5.99293	-0.727698	
6.41311	 -5.9819e-07 -2.66826e-07	-1.14265 -0.21042  14.1748  4.35018	64.9887 32.8211 14.1748 4.35018	33.5794  21.449 18.0667 5.99293	-0.727698	
6.41411	-5.98154e-07  -2.6681e-07	 -1.14266 -0.210418   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	64.9887 32.8211 14.1748 4.35018	-0.727698	
6.41512	-5.98114e-07 -2.66792e-07	 -1.14267 -0.210416   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	64.9887 32.8211 14.1748 4.35018	-0.727698	
6.41611	-5.98073e-07 -2.66776e-07	 -1.14267 -0.210414   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	33.5794  21.449 18.0667 5.99293	-0.727698	
6.41711	-5.98035e-07 -2.66762e-07	 -1.14268 -0.210411   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	33.5794  21.449 18.0667 5.99293	-0.727698	
6.41807	-5.97997e-07  -2.6675e-07	 -1.14268 -0.210409   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	64.9887 32.8211 14.1748 4.35018	-0.727698	
6.41911	-5.97997e-07  -2.6675e-07	 -1.14269 -0.210407   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	33.5794  21.449 18.0667 5.99293	-0.727698	
6.42011	-5.97917e-07 -2.66729e-07	  -1.1427 -0.210405   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	33.5794  21.449 18.0667 5.99293	-0.727698	
6.42111	-5.97879e-07 -2.66723e-07	  -1.1427 -0.210402   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	33.5794  21.449 18.0667 5.99293	-0.727699	
6.42213	-5.97841e-07 -2.66718e-07	 -1.14275 -0.210424   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	33.5794  21.449 18.0667 5.99293	-0.727699	
6.42311	-5.97841e-07 -2.66718e-07	 -1.14276 -0.210421   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	33.5794  21.449 18.0667 5.99293	-0.727699	
6.42412	-5.97803e-07 -2.66711e-07	 -1.14276 -0.210419   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	33.5794  21.449 18.0667 5.99293	-0.727699	
6.42512	-5.97764e-07 -2.66702e-07	 -1.14277 -0.210417   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	33.5794  21.449 18.0667 5.99293	-0.727699	
6.42612	-5.97727e-07 -2.66691e-07	 -1.14278 -0.210414   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	33.5794  21.449 18.0667 5.99293	-0.727699	
6.42713	-5.97652e-07 -2.66664e-07	 -1.14278 -0.210412   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	33.5794  21.449 18.0667 5.99293	-0.727699	
6.42814	-5.97652e-07 -2.66664e-07	-1.14279 -0.21041  14.1748  4.35018	64.9887 32.8211 14.1748 4.35018	33.5794  21.449 18.0667 5.99293	-0.727699	
6.42912	-5.97577e-07 -2.66633e-07	 -1.14279 -0.210407   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	33.5794  21.449 18.0667 5.99293	-0.727699	
6.43012	-5.97539e-07 -2.66615e-07	  -1.1428 -0.210405   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	33.5794  21.449 18.0667 5.99293	-0.727699	
6.43111	-5.97501e-07 -2.66599e-07	 -1.14281 -0.210403   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	33.5794  21.449 18.0667 5.99293	-0.727699	
6.43211	-5.97463e-07 -2.66581e-07	 -1.14281 -0.210401   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	33.5794  21.449 18.0667 5.99293	-0.727699	
6.43311	-5.97426e-07 -2.66564e-07	 -1.14282 -0.210398   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	64.9887 32.8211 14.1748 4.35018	-0.727699	
6.43407	-5.97426e-07 -2.66564e-07	 -1.14283 -0.210396   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	33.5794  21.449 18.0667 5.99293	-0.727699	
6.43507	-6.03319e-07 -2.77932e-07	 -1.14283 -0.210394   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	33.5794  21.449 18.0667 5.99293	-0.727699	
6.43607	-5.97313e-07 -2.66512e-07	 -1.14284 -0.210392   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	33.5794  21.449 18.0667 5.99293	-0.727699	
6.43707	-5.97276e-07 -2.66496e-07	 -1.14284 -0.210389   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	33.5795  21.449 18.0667 5.99293	-0.727699	
6.43812	-5.97276e-07 -2.66496e-07	 -1.14285 -0.210387   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	33.5795  21.449 18.0667 5.99293	-0.727699	
6.43907	-5.97238e-07  -2.6648e-07	 -1.14286 -0.210385   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	33.5795  21.449 18.0667 5.99293	-0.727699	
6.44007	-5.97167e-07 -2.66454e-07	 -1.14286 -0.210383   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	33.5795  21.449 18.0667 5.99293	-0.727699	
6.44106	-5.97167e-07 -2.66454e-07	 -1.14287 -0.210381   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	33.5795  21.449 18.0667 5.99293	-0.727699	
6.44206	-5.97126e-07 -2.66442e-07	 -1.14287 -0.210378   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	33.5795  21.449 18.0667 5.99293	-0.727699	
6.44307	 -5.9709e-07 -2.66432e-07	 -1.14288 -0.210376   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	33.5795  21.449 18.0667 5.99293	-0.727699	
6.44407	-5.97052e-07 -2.66423e-07	 -1.14289 -0.210374   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	33.5795  21.449 18.0667 5.99293	-0.727699	
6.44507	-5.97018e-07 -2.66417e-07	 -1.14289 -0.210372   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	33.5795  21.449 18.0667 5.99293	-0.7277	
6.44607	-5.96982e-07 -2.66414e-07	 -1.14294 -0.210393   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	33.5795  21.449 18.0667 5.99293	-0.7277	
6.44707	-5.96944e-07 -2.66412e-07	 -1.14295 -0.210391   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	33.5795  21.449 18.0667 5.99293	-0.7277	
6.44807	-5.96909e-07 -2.66408e-07	 -1.14296 -0.210388   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	33.5795  21.449 18.0667 5.99293	-0.7277	
6.44907	-5.96875e-07 -2.66402e-07	 -1.14296 -0.210386   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	33.5795  21.449 18.0667 5.99293	-0.7277	
6.45006	-5.96839e-07 -2.66394e-07	 -1.14297 -0.210384   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	33.5795  21.449 18.0667 5.99293	-0.7277	
6.45107	-5.96804e-07 -2.66385e-07	 -1.14297 -0.210381   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	33.5795  21.449 18.0667 5.99293	-0.7277	
6.45206	-5.96732e-07  -2.6636e-07	 -1.14298 -0.210379   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	33.5795  21.449 18.0667 5.99293	-0.7277	
6.45307	-5.96732e-07  -2.6636e-07	 -1.14299 -0.210377   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	33.5795  21.449 18.0667 5.99293	-0.7277	
6.45407	-5.96658e-07  -2.6633e-07	 -1.14299 -0.210375   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	64.9887 32.8211 14.1748 4.35018	-0.7277	
6.45508	-5.96658e-07  -2.6633e-07	   -1.143 -0.210372   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	33.5795  21.449 18.0667 5.99293	-0.7277	
6.45607	-5.96622e-07 -2.66315e-07	  -1.143 -0.21037  14.1748  4.35018	64.9887 32.8211 14.1748 4.35018	33.5795  21.449 18.0667 5.99293	-0.7277	
6.45707	-5.96584e-07 -2.66299e-07	 -1.14301 -0.210368   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	33.5795  21.449 18.0667 5.99293	-0.7277	
6.45807	-5.96512e-07 -2.66269e-07	 -1.14302 -0.210366   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	33.5795  21.449 18.0667 5.99292	-0.7277	
6.45907	-5.96475e-07 -2.66254e-07	 -1.14302 -0.210363   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	33.5795  21.449 18.0667 5.99292	-0.7277	
6.46007	-5.96438e-07  -2.6624e-07	 -1.14303 -0.210361   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	33.5795  21.449 18.0667 5.99292	-0.7277	
6.46107	-5.96402e-07 -2.66227e-07	 -1.14303 -0.210359   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	33.5795  21.449 18.0667 5.99292	-0.7277	
6.46207	-5.96402e-07 -2.66227e-07	 -1.14304 -0.210357   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	33.5795  21.449 18.0667 5.99292	-0.7277	
6.46307	-5.96366e-07 -2.66216e-07	 -1.14305 -0.210355   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	33.5795  21.449 18.0667 5.99292	-0.7277	
6.46407	 -5.9633e-07 -2.66206e-07	 -1.14305 -0.210353   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	33.5795  21.449 18.0667 5.99292	-0.7277	
6.46507	-5.96295e-07 -2.66196e-07	-1.14306 -0.21035  14.1748  4.35018	64.9887 32.8211 14.1748 4.35018	33.5795  21.449 18.0667 5.99292	-0.7277	
6.46607	-5.96259e-07 -2.66189e-07	 -1.14306 -0.210348   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	33.5795  21.449 18.0667 5.99292	-0.7277	
6.46707	-5.96191e-07 -2.66179e-07	 -1.14307 -0.210346   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	33.5795  21.449 18.0667 5.99292	-0.7277	
6.46811	-5.96155e-07 -2.66177e-07	 -1.14308 -0.210344   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	64.9887 32.8211 14.1748 4.35018	-0.727701	
6.46911	-5.96123e-07 -2.66174e-07	 -1.14313 -0.210365   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	64.9887 32.8211 14.1748 4.35018	-0.727701	
6.47011	-5.96123e-07 -2.66174e-07	 -1.14313 -0.210363   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	33.5795  21.449 18.0668 5.99292	-0.727701	
6.47107	-5.96086e-07 -2.66168e-07	-1.14314 -0.21036  14.1748  4.35018	64.9887 32.8211 14.1748 4.35018	33.5795  21.449 18.0668 5.99292	-0.727701	
6.47207	-5.96017e-07 -2.66152e-07	 -1.14315 -0.210358   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	33.5795  21.449 18.0668 5.99292	-0.727701	
6.47311	-5.9598e-07 -2.6614e-07	 -1.14315 -0.210355   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	64.9887 32.8211 14.1748 4.35018	-0.727701	
6.47411	-5.95945e-07 -2.66128e-07	 -1.14316 -0.210353   14.1748   4.35018	64.9887 32.8211 14.1748 4.35018	33.5795  21.449 18.0668 5.99292	-0.727701	
