Timestep 	 x_error[2] 	 command torques[5] 	 f contact[2]
0.17613	0.0146728  0.112348	 42.3902   46.516  18.6448  6.43656 -3.37374	4.63092e-12    -8.31633
0.177131	0.0144401   0.11234	  42.453  46.7026  18.7995  6.41133 -3.35911	1.39007e-11    -8.33385
0.178082	0.0142641  0.112331	 42.5139   46.885  18.9494  6.38596 -3.34553	4.64479e-12    -8.35105
0.179103	0.0140219  0.112324	 42.5736   47.063  19.1044  6.34805 -3.32894	1.86054e-11    -8.37081
0.180055	0.0138284  0.112316	  42.632  47.2335  19.2464  6.32226 -3.31579	4.66889e-12    -8.38723
0.181084	0.0135908  0.112309	  42.689  47.3986   19.391  6.28621 -3.30039	      -0 -8.40572
0.182087	0.0133762  0.112301	 42.7448  47.5559  19.5243     6.26 -3.28767	      -0 -8.40633
0.183055	0.0131739  0.112295	 42.7917   47.712  19.7065  6.14331 -3.25531	-4.71502e-12     -8.45484
0.184084	0.0129573  0.112287	  42.853  47.8619   19.788   6.1972 -3.26187	-1.88351e-11     -8.45574
0.185055	0.0127614  0.112279	 42.9057  48.0077  19.9107  6.17202 -3.25091	4.70286e-12     -8.4562
0.186082	0.0126329  0.112274	 42.9508   48.156  20.0761  6.07018 -3.22381	4.73626e-12    -8.50174
0.187083	0.0123837  0.112266	  43.006  48.2836   20.152  6.10694 -3.22719	9.46123e-12    -8.50428
0.188081	0.012199 0.112258	 43.0551  48.4153  20.2637  6.08181 -3.21749	9.44914e-12    -8.50461
0.189088	0.0120219  0.112252	 43.1018   48.543  20.3808  6.04125 -3.20479	-9.50154e-12     -8.53649
0.190094	0.0118467  0.112246	 43.1483  48.6647  20.4848  6.01585 -3.19583	1.89771e-11    -8.53699
0.191055	0.0117442  0.112239	 43.1966  48.7987  20.5945  5.99171 -3.18782	      -0 -8.56646
0.192055	0.0115307  0.112234	 43.2378  48.8997  20.6926  5.95267 -3.17635	-4.7841e-12    -8.58195
0.193055	0.0113381  0.112227	 43.2814  49.0086  20.7862  5.92828 -3.16871	-9.56317e-12     -8.59578
0.194054	0.0111751   0.11222	 43.3237  49.1141  20.8773  5.90317 -3.16131	-9.54758e-12     -8.59589
0.195054	0.0109909  0.112215	 43.3626  49.2111  20.9722  5.86088 -3.15047	4.80198e-12    -8.62546
0.196084	0.0108397  0.112209	 43.4029  49.3091  21.0572  5.83591 -3.14384	4.80336e-12      -8.639
0.197056	0.0107386  0.112203	 43.4442  49.4153   21.146   5.8116 -3.13778	-4.79828e-12     -8.63901
0.198054	0.0105948  0.112199	 43.4811  49.5058  21.2326  5.77326 -3.12895	-1.44791e-11     -8.66861
0.199054	0.0104531  0.112193	 43.5182   49.592  21.3083  5.74836 -3.12335	-9.65456e-12      -8.6816
0.200054	0.0103142  0.112187	 43.5543  49.6745   21.381  5.72345 -3.11806	-1.92869e-11     -8.68153
0.201056	0.010179 0.112182	 43.5882  49.7536  21.4585  5.68529 -3.11027	-9.67776e-12     -8.70914
0.202093	0.0100472  0.112177	 43.6221  49.8284  21.5253  5.66041 -3.10563	-1.93461e-11     -8.70901
0.203093	0.00991878   0.112172	 43.6545  49.9003  21.5944  5.62709 -3.09951	-1.45791e-11     -8.73527
0.204093	0.00979264   0.112167	43.6866 49.9684 21.6558 5.60236 -3.0955	4.86048e-12    -8.74745
0.205096	0.0097244  0.112162	 43.7204  50.0476  21.7237  5.57784 -3.09168	-1.46548e-11     -8.76026
0.206094	0.00955062   0.112159	 43.7468  50.0943  21.7761  5.54252 -3.08619	9.77801e-12    -8.77292
0.207071	0.00943343   0.112154	 43.7761  50.1524  21.8296  5.51787 -3.08305	-1.466e-11   -8.78463
0.208095	0.00931773   0.112148	 43.8042  50.2064    21.88   5.4931 -3.08016	9.76014e-12    -8.78437
0.209096	0.00920761   0.112145	 43.8307  50.2596  21.9372  5.45469 -3.07468	4.90534e-12    -8.80981
0.210094	0.00909867    0.11214	 43.8572  50.3082  21.9831  5.43018 -3.07238	2.94367e-11    -8.82109
0.211093	0.00899236   0.112136	 43.8828  50.3538  22.0267  5.40567 -3.07032	4.90115e-12    -8.82076
0.212097	0.00888929   0.112132	 43.9066  50.3967  22.0744  5.36991 -3.06619	2.95166e-11      -8.845
0.213059	0.0087883  0.112128	 43.9305  50.4363  22.1132  5.34552 -3.06467	4.92021e-12    -8.85586
0.21406	0.00874203   0.112124	 43.9571    50.49  22.1611  5.32138 -3.06306	      -0 -8.86754
0.215056	0.00858341   0.112121	 43.9727  50.4972  22.1829  5.28698 -3.06054	-4.9496e-12    -8.87801
0.216055	0.00850193   0.112117	  43.995  50.5326  22.2178   5.2628 -3.05965	9.89573e-12    -8.88878
0.217056	0.0084096  0.112113	44.0169 50.5666 22.2512 5.23928 -3.0591	      -0 -8.89942
0.218094	0.00837124   0.112108	 44.0406  50.6105  22.2913  5.21531 -3.05833	     -0 -8.9105
0.219093	0.00823471   0.112106	 44.0543  50.6155  22.3125  5.17708 -3.05582	9.9281e-12    -8.9219
0.220093	0.00815025   0.112103	 44.0724   50.636  22.3362    5.153 -3.05592	9.92479e-12    -8.93188
0.221097	0.00811764   0.112099	  44.094  50.6726  22.3705  5.12921 -3.05576	-1.49624e-11     -8.94272
0.222059	0.0079888  0.112097	44.1054 50.6693 22.3828 5.09521 -3.0548	4.99085e-12    -8.95298
0.223059	0.00791175   0.112094	  44.121  50.6812  22.3998   5.0711 -3.05551	-9.97846e-12     -8.96255
0.224104	0.00782232    0.11209	  44.134  50.6824  22.4095  5.04654 -3.05651	9.96559e-12    -8.97149
0.225097	0.00777186   0.112086	 44.1507  50.7008  22.4305  5.02285 -3.05734	9.98479e-12    -8.98122
0.226095	0.00768866   0.112084	 44.1638  50.7089  22.4506  4.98747 -3.05631	4.99667e-12     -8.9928
0.227094	0.00761858   0.112081	44.1767 50.7127  22.461 4.96373 -3.0578	1.99749e-11    -8.99227
0.228094	0.00755103   0.112079	 44.1883  50.7146  22.4739  4.93293 -3.05806	-1.00321e-11     -9.01219
0.229097	0.00748458   0.112076	 44.1999   50.714  22.4807  4.90932 -3.05992	      -0 -9.02116
0.230063	0.00741984   0.112073	 44.2108  50.7115   22.486  4.88575 -3.06193	-1.00277e-11     -9.03004
0.231093	0.00740388    0.11207	44.2258 50.7271 22.5038  4.8625 -3.0635	-5.03915e-12     -9.03986
0.232102	0.00729658    0.11207	 44.2295  50.6998  22.4969  4.82931 -3.06464	1.00845e-11    -9.04895
0.233093	0.00723693   0.112067	 44.2384  50.6911  22.4973  4.80592 -3.06716	-1.51239e-11     -9.05753
0.234093	0.00717893   0.112064	 44.2467  50.6806  22.4963  4.78256 -3.06982	      -0 -9.06601
0.235093	0.00712198   0.112061	 44.2542  50.6679  22.4935   4.7592 -3.07262	-1.00972e-11     -9.07415
0.236093	0.00706824    0.11206	 44.2604  50.6542  22.4956    4.726 -3.07364	-1.01049e-11     -9.08429
0.237097	0.00701498   0.112057	 44.2667   50.638    22.49  4.70283 -3.07676	-5.05175e-12     -9.09249
0.238093	0.00696313   0.112055	 44.2725  50.6201  22.4831  4.67971 -3.08001	-2.01901e-11     -9.09191
0.23907	0.00691334   0.112054	 44.2769  50.6003  22.4794  4.64856 -3.08185	1.01353e-11     -9.1099
0.240059	0.0068448  0.112052	 44.2791  50.5695   22.463  4.62543 -3.08571	2.02735e-11    -9.11724
0.241057	0.00679514   0.112049	 44.2819  50.5418  22.4489  4.60213 -3.08944	2.02643e-11    -9.12484
0.242057	0.00676573   0.112047	 44.2874  50.5256  22.4425  4.57938 -3.09293	1.0164e-11   -9.13295
0.243057	0.00670539   0.112047	 44.2876  50.4917  22.4278  4.54895 -3.09567	2.03408e-11    -9.14152
0.244057	0.00666205   0.112045	  44.29 50.4642 22.4132 4.52624 -3.0997	-1.52547e-11     -9.14915
0.245056	0.00661826   0.112043	 44.2917  50.4344  22.3968  4.50355 -3.10386	     -0 -9.1485
0.246056	0.00664947   0.112043	 44.3002  50.4353  22.4064  4.47422 -3.10561	-1.02201e-11     -9.16709
0.24706	0.00656003   0.112041	 44.2967  50.3859  22.3756  4.45203 -3.11077	-1.02214e-11     -9.17337
0.248056	0.00654945   0.112039	 44.3005  50.3663  22.3661  4.42976 -3.11474	1.02194e-11     -9.1815
0.249093	0.00651176   0.112038	 44.3002  50.3312  22.3454  4.40731 -3.11933	-1.0211e-11    -9.18871
