Timestep 	 x_error[2] 	 command torques[4]
0.287101	 0.00102989 0.000651263	66.8794 37.1186 15.8774 4.60979
0.288098	 0.00103198 0.000651126	66.8791 37.1184 15.8774 4.60978
0.289105	 0.00103406 0.000650988	66.8788 37.1182 15.8773 4.60978
0.29007	 0.00103612 0.000650848	66.8785  37.118 15.8773 4.60977
0.291063	 0.00103837 0.000650694	66.8781 37.1178 15.8772 4.60976
0.2921	 0.00104021 0.000650566	66.8779 37.1177 15.8772 4.60975
0.293115	 0.00104243 0.000650409	66.8775 37.1175 15.8771 4.60975
0.294097	 0.00104444 0.000650266	66.8772 37.1173 15.8771 4.60974
0.295095	 0.00104643 0.000650121	66.8769 37.1172  15.877 4.60973
0.296094	 0.00104841 0.000649976	66.8767  37.117  15.877 4.60973
0.297112	0.00105038 0.00064983	66.8764 37.1169  15.877 4.60972
0.298096	 0.00105233 0.000649683	66.8761 37.1167 15.8769 4.60971
0.299101	 0.00105428 0.000649535	66.8758 37.1165 15.8769 4.60971
0.3001	 0.00105601 0.000649401	66.8756 37.1164 15.8768  4.6097
0.301111	 0.00105793 0.000649252	66.8753 37.1163 15.8768  4.6097
0.302065	 0.00106002 0.000649087	 66.875 37.1161 15.8768 4.60969
0.303119	 0.00106191 0.000648936	66.8747  37.116 15.8767 4.60969
0.304109	 0.00106379 0.000648785	66.8745 37.1158 15.8767 4.60968
0.305106	 0.00106565 0.000648632	66.8742 37.1157 15.8766 4.60968
0.306065	 0.00106732 0.000648495	 66.874 37.1155 15.8766 4.60967
0.307064	 0.00106916 0.000648342	66.8737 37.1154 15.8766 4.60967
0.308063	 0.00107117 0.000648173	66.8735 37.1153 15.8765 4.60967
0.309063	  0.0010728 0.000648034	66.8732 37.1151 15.8765 4.60966
0.310064	0.00107461 0.00064788	 66.873  37.115 15.8765 4.60966
0.311063	  0.0010764 0.000647724	66.8728 37.1149 15.8764 4.60966
0.312065	 0.00107818 0.000647569	66.8725 37.1147 15.8764 4.60965
0.313065	 0.00107994 0.000647413	66.8723 37.1146 15.8764 4.60965
0.314065	  0.0010817 0.000647257	66.8721 37.1145 15.8763 4.60965
0.315066	 0.00108361 0.000647084	66.8718 37.1144 15.8763 4.60965
0.316066	 0.00108534 0.000646927	66.8716 37.1142 15.8763 4.60964
0.317069	0.00108706 0.00064677	66.8716 37.1142 15.8763 4.60964
0.31807	 0.00108877 0.000646612	66.8714 37.1141 15.8763 4.60964
0.31907	0.00109029 0.00064647	66.8712  37.114 15.8762 4.60964
0.32007	 0.00109214 0.000646296	 66.871 37.1139 15.8762 4.60964
0.321069	 0.00109381 0.000646137	66.8707 37.1138 15.8762 4.60964
0.322067	 0.00109547 0.000645978	66.8703 37.1135 15.8761 4.60963
0.323065	 0.00109712 0.000645819	66.8701 37.1134 15.8761 4.60963
