Timestep 	 x_error[2] 	 command torques[4] 	 f contact[2]
0.245058	0.00479518   0.112268	 39.0145  14.3554  2.49417 -3.84495	-3.76917e-10     -9.39486
0.246058	0.00472335   0.112265	 38.9505  14.3188  2.46201 -3.84947	-4.29688e-10      -9.4045
0.247058	0.00466842   0.112263	 38.8863  14.2822   2.4298 -3.85382	1.41616e-10    -9.41399
0.248058	0.00460651    0.11226	 38.8238  14.2465   2.3984 -3.85822	4.51486e-10    -9.42333
0.249058	0.00454719   0.112257	 38.7623  14.2113  2.36749 -3.86257	-2.94248e-10     -9.43253
0.250058	0.00448268   0.112254	 38.7023  14.1769  2.33737 -3.86695	5.25886e-11    -9.44158
0.251058	0.00443287   0.112251	38.6424 14.1427 2.30729 -3.8712	-3.47367e-10     -9.45049
0.252058	0.00435884   0.112249	 38.5848  14.1096  2.27839 -3.87558	-2.15956e-10     -9.45927
0.253059	0.00431728   0.112246	38.5264 14.0763 2.24907 -3.8797	-1.89761e-10     -9.46789
0.254058	0.00425983   0.112243	 38.4705  14.0442  2.22101 -3.88398	4.58918e-10    -9.47639
0.255058	0.00421742   0.112241	 38.4138  14.0118  2.19255 -3.88806	1.05571e-10    -9.48478
0.256058	0.00416521   0.112238	  38.359  13.9804  2.16504 -3.89221	-1.16204e-10     -9.49303
0.257059	0.00411473   0.112235	 38.3054  13.9495  2.13811 -3.89634	-5.8138e-11    -9.50113
0.258058	0.00405965   0.112233	 38.2527  13.9192  2.11168 -3.90045	4.75955e-11    -9.50911
0.25907	0.00446552   0.112233	 38.2004  13.8892  2.08545 -3.90447	3.59812e-10    -9.51696
0.260059	0.00396767   0.112227	38.1493 13.8598 2.05978 -3.9085	3.86474e-10    -9.52469
0.261058	0.00392323   0.112225	 38.0993   13.831  2.03472 -3.91253	-3.33701e-10      -9.5323
0.262058	0.00387539   0.112222	 38.0496  13.8024  2.00976 -3.91648	-2.27872e-10     -9.53981
0.263058	0.00383094    0.11222	 38.0014  13.7746  1.98556 -3.92045	1.48448e-10    -9.54718
0.264058	0.00378696   0.112217	 37.9536   13.747  1.96162 -3.92438	1.4851e-10   -9.55444
0.265058	0.00374681   0.112217	 37.9067  13.7199  1.93806 -3.92826	-1.60214e-11     -9.56158
0.266058	0.00370265   0.112215	 37.8566  13.6913  1.91286 -3.93209	-2.51194e-10     -9.56897
0.267058	0.00366484   0.112213	 37.8115  13.6652  1.89025 -3.93594	2.67416e-11    -9.57589
0.268058	0.00362408    0.11221	 37.7669  13.6394  1.86788 -3.93974	-1.98022e-10     -9.58271
0.269059	0.00357094   0.112208	 37.7243  13.6146  1.84658 -3.94366	-1.92795e-10     -9.58941
0.270058	0.00354197   0.112206	37.6804 13.5893 1.82451 -3.9473	4.71571e-10      -9.596
0.271058	0.00351512   0.112204	 37.6383  13.5649  1.80341 -3.95103	2.68099e-10     -9.6025
0.27207	0.00347631   0.112201	 37.5964  13.5406  1.78243 -3.95472	-1.39492e-10     -9.60891
0.273059	0.00385428   0.112201	 37.5567  13.5174  1.76257 -3.95851	-1.98617e-10      -9.6152
0.274058	0.0034111  0.112197	 37.5152  13.4935  1.74173 -3.96201	-8.59335e-11      -9.6214
